NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
11090,"Broccoli, raw",0.37,2.6,1.7,34,6.64,2.82,47,0.73,89.2,,,,
11745,"Brussels sprouts, cooked, boiled, drained, with salt",0.5,2.6,1.74,36,7.1,2.55,36,1.2,62,,,,
11099,"Brussels sprouts, cooked, boiled, drained, without salt",0.5,2.6,1.74,36,7.1,2.55,36,1.2,62,,,,
11746,"Brussels sprouts, frozen, cooked, boiled, drained, with salt",0.39,4.1,2.08,42,8.32,3.64,26,0.48,45.7,,,,
11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",0.39,4.1,2.08,42,8.32,3.64,26,0.48,45.7,,,,
11098,"Brussels sprouts, raw",0.3,3.8,2.2,43,8.95,3.38,42,1.4,85,,,,
20011,"Buckwheat flour, whole-groat",3.1,10,2.6,335,70.59,12.62,41,4.06,0,,,,
20010,"Buckwheat groats, roasted, cooked",0.62,2.7,0.9,92,19.94,3.38,7,0.8,0,,,,
20013,"Bulgur, cooked",0.24,4.5,0.1,83,18.58,3.08,10,0.96,0,,,,
20012,"Bulgur, dry",1.33,12.5,0.41,342,75.87,12.29,35,2.46,0,,,,
11747,"Burdock root, cooked, boiled, drained, with salt",0.14,1.8,3.55,88,21.15,2.09,49,0.77,2.6,,,,
11105,"Burdock root, cooked, boiled, drained, without salt",0.14,1.8,3.55,88,21.15,2.09,49,0.77,2.6,,,,
11104,"Burdock root, raw",0.15,3.3,2.9,72,17.34,1.53,41,0.8,3,,,,
11754,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",0.16,1,0.83,12,1.78,1.56,93,1.04,26,,,,
11117,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",0.16,1,0.83,12,1.78,1.56,93,1.04,26,,,,
11116,"Cabbage, chinese (pak-choi), raw",0.2,1,1.18,13,2.18,1.5,105,0.8,45,,,,
11119,"Cabbage, chinese (pe-tsai), raw",0.2,1.2,1.41,16,3.23,1.2,77,0.31,27,,,,
11751,"Cabbage, common, cooked, boiled, drained, with salt",0.06,1.9,2.79,23,5.51,1.27,48,0.17,37.5,,,,
11110,"Cabbage, cooked, boiled, drained, without salt",0.06,1.9,2.79,23,5.51,1.27,48,0.17,37.5,,,,
43143,"Cabbage, japanese style, fresh, pickled",0.1,3.1,1.3,30,5.67,1.6,48,0.49,0.7,,,,
11118,"Cabbage, kimchi",0.5,1.6,1.06,15,2.4,1.1,33,2.5,0,,,,
43144,"Cabbage, mustard, salted",0.1,3.1,1.4,28,5.63,1.1,67,0.7,0,,,,
11109,"Cabbage, raw",0.1,2.5,3.2,25,5.8,1.28,40,0.47,36.6,,,,
11752,"Cabbage, red, cooked, boiled, drained, with salt",0.09,2.6,3.32,29,6.94,1.51,42,0.66,10.8,,,,
11113,"Cabbage, red, cooked, boiled, drained, without salt",0.09,2.6,3.32,29,6.94,1.51,42,0.66,34.4,,,,
11112,"Cabbage, red, raw",0.16,2.1,3.83,31,7.37,1.43,45,0.8,57,,,,
11114,"Cabbage, savoy, raw",0.1,3.1,2.27,27,6.1,2,35,0.4,31,,,,
31006,"CAMPBELL'S, Organic Tomato juice",0,0.8,2.88,21,4.12,0.82,8,0.15,29.6,,,,
31001,"CAMPBELL'S, Tomato juice",0,0.8,2.88,21,4.12,0.82,8,0.15,29.6,,,,
31002,"CAMPBELL'S, Tomato juice, low sodium",0,0.8,2.88,21,4.12,0.82,8,0.15,29.6,,,,
31008,"CAMPBELL'S, V8 100% Vegetable Juice",0,0.8,3.29,21,4.12,0.82,16,0.3,29.6,,,,
31016,"CAMPBELL'S, V8 60% Vegetable Juice, V8 V-Lite",0,0.4,2.06,14,2.88,0.41,16,0.3,29.6,,,,
31011,"CAMPBELL'S, V8 Vegetable Juice, Calcium Enriched V8",0,0.8,3.29,21,4.53,0.82,123,0.3,29.6,,,,
31010,"CAMPBELL'S, V8 Vegetable Juice, Essential Antioxidants V8",0,0.8,3.29,21,4.53,0.82,16,0.3,49.4,,,,
31018,"CAMPBELL'S, V8 Vegetable Juice, High Fiber V8",0,2.1,3.29,25,5.39,0.82,16,0.3,29.6,,,,
31017,"CAMPBELL'S, V8 Vegetable Juice, Low Sodium Spicy Hot",0,0.8,3.29,21,4.53,0.82,8,0.15,24.7,,,,
31012,"CAMPBELL'S, V8 Vegetable Juice, Low Sodium V8",0,0.8,3.29,21,4.12,0.82,8,0.15,29.6,,,,
31005,"CAMPBELL'S, V8 Vegetable Juice, Organic V8",0,0.8,3.29,20,4.53,0.41,8,0.3,29.6,,,,
31013,"CAMPBELL'S, V8 Vegetable Juice, Spicy Hot V8",0,0.8,3.29,21,4.12,0.82,16,0.44,29.6,,,,
9060,"Carambola, (starfruit), raw",0.33,2.8,3.98,31,6.73,1.04,3,0.08,34.4,,,,
16055,Carob flour,0.65,39.8,49.08,222,88.88,4.62,348,2.94,0.2,,,,
11655,"Carrot juice, canned",0.15,0.8,3.91,40,9.28,0.95,24,0.46,8.5,,,,
11683,"Carrot, dehydrated",1.49,23.6,38.82,341,79.57,8.1,212,3.93,14.6,,,,
11960,"Carrots, baby, raw",0.13,2.9,4.76,35,8.24,0.64,32,0.89,2.6,,,,
11759,"Carrots, canned, no salt added, drained solids",0.19,1.5,2.48,25,5.54,0.64,25,0.64,2.7,,,,
11758,"Carrots, canned, no salt added, solids and liquids",0.14,1.8,2.46,23,5.36,0.59,31,0.52,2,,,,
11128,"Carrots, canned, regular pack, drained solids",0.19,1.5,2.48,25,5.54,0.64,25,0.64,2.7,,,,
11126,"Carrots, canned, regular pack, solids and liquids",0.14,1.8,2.46,23,5.37,0.58,31,0.52,2,,,,
11757,"Carrots, cooked, boiled, drained, with salt",0.18,3,3.45,35,8.22,0.76,30,0.34,3.6,,,,
11125,"Carrots, cooked, boiled, drained, without salt",0.18,3,3.45,35,8.22,0.76,30,0.34,3.6,,,,
11760,"Carrots, frozen, cooked, boiled, drained, with salt",0.68,3.3,4.08,37,7.73,0.58,35,0.53,2.3,,,,
11131,"Carrots, frozen, cooked, boiled, drained, without salt",0.68,3.3,4.08,37,7.73,0.58,35,0.53,2.3,,,,
11130,"Carrots, frozen, unprepared",0.46,3.3,4.76,36,7.9,0.78,36,0.44,2.5,,,,
11124,"Carrots, raw",0.24,2.8,4.74,41,9.58,0.93,33,0.3,5.9,,,,
11134,"Cassava, raw",0.28,1.8,1.7,160,38.06,1.36,16,0.27,20.6,,,,
11935,Catsup,0.1,0.3,21.27,101,27.4,1.04,15,0.35,4.1,,,,
11949,"Catsup, low sodium",0.1,0.3,21.27,101,27.4,1.04,15,0.35,4.1,,,,
11761,"Cauliflower, cooked, boiled, drained, with salt",0.45,2.3,1.86,23,4.11,1.84,16,0.32,44.3,,,,
11136,"Cauliflower, cooked, boiled, drained, without salt",0.45,2.3,2.08,23,4.11,1.84,16,0.32,44.3,,,,
11762,"Cauliflower, frozen, cooked, boiled, drained, with salt",0.22,2.7,0.46,17,3.16,1.61,17,0.41,31.3,,,,
11138,"Cauliflower, frozen, cooked, boiled, drained, without salt",0.22,2.7,1.05,19,3.75,1.61,17,0.41,31.3,,,,
11137,"Cauliflower, frozen, unprepared",0.27,2.3,2.22,24,4.68,2.01,22,0.54,48.8,,,,
11967,"Cauliflower, green, cooked, no salt added",0.31,3.3,3.12,32,6.28,3.04,32,0.72,72.6,,,,
11965,"Cauliflower, green, raw",0.3,3.2,3.03,31,6.09,2.95,33,0.73,88.1,,,,
