NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
9263,"Persimmons, japanese, raw",0.19,3.6,12.53,70,18.59,0.58,8,0.15,7.5,,,,
11945,"Pickle relish, sweet",0.47,1.1,29.13,130,35.06,0.37,3,0.87,1,,,,
11983,"Pickles, chowchow, with cauliflower onion mustard, sweet",0.9,1.5,23.88,121,26.64,1.5,23,1.4,6,,,,
11937,"Pickles, cucumber, dill or kosher dill",0.3,1,1.07,12,2.41,0.5,57,0.26,2.3,,,,
11947,"Pickles, cucumber, dill, reduced sodium",0.3,1,1.07,12,2.41,0.5,57,0.26,2.3,,,,
11941,"Pickles, cucumber, sour",0.2,1.2,1.06,11,2.26,0.33,0,0.4,1,,,,
11946,"Pickles, cucumber, sour, low sodium",0.2,1.2,1.06,11,2.26,0.33,0,0.4,1,,,,
11940,"Pickles, cucumber, sweet (includes bread and butter pickles)",0.41,1,18.27,91,21.15,0.58,61,0.25,0.7,,,,
11948,"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",0.26,1.1,26.68,122,33.73,0.37,4,0.59,1.2,,,,
11826,"Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",1.36,4.2,2.48,111,19.49,5.96,41,1.57,28.1,,,,
11345,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",1.36,4.2,2.48,111,19.49,5.96,41,1.57,28.1,,,,
11344,"Pigeonpeas, immature seeds, raw",1.64,5.1,3,136,23.88,7.2,42,1.6,39,,,,
11943,"Pimento, canned",0.3,1.9,2.71,23,5.1,1.1,6,1.68,84.9,,,,
9409,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",0.12,0.2,9.98,53,12.87,0.36,13,0.31,43.8,,,,
9273,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",0.12,0.2,9.98,53,12.87,0.36,13,0.31,10,,,,
9510,"Pineapple juice, canned, not from concentrate, unsweetened, with added vitamins A, C and E",0.14,0.2,9.98,50,12.18,0.36,14,0.26,31.3,,,,
9275,"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",0.03,0.2,12.47,51,12.67,0.4,13,0.16,12,,,,
9274,"Pineapple juice, frozen concentrate, unsweetened, undiluted",0.1,0.7,43.6,179,44.3,1.3,39,0.9,42,,,,
9270,"Pineapple, canned, heavy syrup pack, solids and liquids",0.11,0.8,16.9,78,20.2,0.35,14,0.38,7.4,,,,
9354,"Pineapple, canned, juice pack, drained",0.11,1.3,14.26,60,15.56,0.51,16,0.28,9.4,,,,
9268,"Pineapple, canned, juice pack, solids and liquids",0.08,0.8,14.45,60,15.7,0.42,14,0.28,9.5,,,,
9269,"Pineapple, canned, light syrup pack, solids and liquids",0.12,0.8,12.65,52,13.45,0.36,14,0.39,7.5,,,,
9267,"Pineapple, canned, water pack, solids and liquids",0.09,0.8,7.5,32,8.3,0.43,15,0.4,7.7,,,,
9272,"Pineapple, frozen, chunks, sweetened",0.1,1.1,21.1,86,22.2,0.4,9,0.4,8,,,,
9266,"Pineapple, raw, all varieties",0.12,1.4,9.85,50,13.12,0.54,13,0.29,47.8,,,,
9430,"Pineapple, raw, extra sweet variety",0.11,1.4,10.32,51,13.5,0.53,13,0.28,56.4,,,,
9278,"Plantains, cooked",0.18,2.3,14,116,31.15,0.79,2,0.58,10.9,,,,
9446,"Plantains, green, fried",11.81,3.5,3.63,309,49.17,1.5,4,0.67,3.4,,,,
9277,"Plantains, raw",0.37,2.3,15,122,31.89,1.3,3,0.6,18.4,,,,
9379,"Plums, canned, heavy syrup, drained",0.14,1.5,21.58,89,23.12,0.44,10,0.84,0.4,,,,
9284,"Plums, canned, purple, heavy syrup pack, solids and liquids",0.1,0.9,22.31,89,23.24,0.36,9,0.84,0.4,,,,
9282,"Plums, canned, purple, juice pack, solids and liquids",0.02,0.9,14.22,58,15.15,0.51,10,0.34,2.8,,,,
9283,"Plums, canned, purple, light syrup pack, solids and liquids",0.1,0.9,15.35,63,16.28,0.37,9,0.86,0.4,,,,
9281,"Plums, canned, purple, water pack, solids and liquids",0.01,0.9,10.1,41,11.03,0.39,7,0.16,2.7,,,,
9292,"Plums, dried (prunes), stewed, without added sugar",0.16,3.1,24.98,107,28.08,0.96,19,0.41,2.9,,,,
9291,"Plums, dried (prunes), uncooked",0.38,7.1,38.13,240,63.88,2.18,43,0.93,0.6,,,,
9279,"Plums, raw",0.28,1.4,9.92,46,11.42,0.7,6,0.17,9.5,,,,
11827,"Pokeberry shoots, (poke), cooked, boiled, drained, with salt",0.4,1.5,1.6,20,3.1,2.3,53,1.2,82,,,,
11351,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",0.4,1.5,1.6,20,3.1,2.3,53,1.2,82,,,,
9286,"Pomegranates, raw",1.17,4,13.67,83,18.7,1.67,10,0.3,10.2,,,,
11413,Potato flour,0.34,5.9,3.52,357,83.1,6.9,65,1.38,3.8,,,,
11672,Potato pancakes,14.76,3.3,1.79,268,27.81,6.08,32,1.67,27.6,,,,
11399,"Potato puffs, frozen, oven-heated",9.05,2,0.27,192,27.29,2.13,14,0.58,4,,,,
11398,"Potato puffs, frozen, unprepared",8.71,2.3,0.28,178,24.8,1.93,13,0.47,6.9,,,,
11828,"Potatoes, baked, flesh and skin, with salt",0.13,2.2,1.18,93,21.15,2.5,15,1.08,9.6,,,,
11674,"Potatoes, baked, flesh and skin, without salt",0.13,2.2,1.18,93,21.15,2.5,15,1.08,9.6,,,,
11829,"Potatoes, baked, flesh, with salt",0.1,1.5,1.7,93,21.55,1.96,5,0.35,12.8,,,,
11363,"Potatoes, baked, flesh, without salt",0.1,1.5,1.7,93,21.55,1.96,5,0.35,12.8,,,,
11830,"Potatoes, baked, skin only, with salt",0.1,7.9,1.4,198,46.06,4.29,34,7.04,13.5,,,,
11364,"Potatoes, baked, skin, without salt",0.1,7.9,1.4,198,46.06,4.29,34,7.04,13.5,,,,
11831,"Potatoes, boiled, cooked in skin, flesh, with salt",0.1,2,0.91,87,20.13,1.87,5,0.31,13,,,,
11365,"Potatoes, boiled, cooked in skin, flesh, without salt",0.1,1.8,0.91,87,20.13,1.87,5,0.31,13,,,,
11833,"Potatoes, boiled, cooked without skin, flesh, with salt",0.1,2,0.89,86,20.01,1.71,8,0.31,7.4,,,,
11367,"Potatoes, boiled, cooked without skin, flesh, without salt",0.1,1.8,0.89,86,20.01,1.71,8,0.31,7.4,,,,
43311,"Potatoes, canned, drained solids, no salt added",0.2,2.4,0.59,62,13.6,1.4,5,1.26,5.1,,,,
11352,"Potatoes, flesh and skin, raw",0.09,2.1,0.82,77,17.49,2.05,12,0.81,19.7,,,,
11403,"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",5.48,2,0.37,158,25.55,2.75,12,0.57,8.6,,,,
11402,"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",4.66,1.9,0.2,147,24.81,2.24,9,0.62,17.3,,,,
11842,"Potatoes, french fried, all types, salt not added in processing, frozen, as purchased",4.66,1.9,0.2,150,24.81,2.24,9,0.62,17.3,,,,
11841,"Potatoes, french fried, all types, salt not added in processing, frozen, oven-heated",5.22,2.6,0.28,172,28.71,2.66,12,0.74,13.3,,,,
11359,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",4.99,2,0.21,150,23.96,2.34,13,0.62,7.7,,,,
11360,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated",5.13,2.3,0.29,166,27.5,2.51,13,0.75,11.8,,,,
31031,"Potatoes, french fried, cross cut, frozen, unprepared",10,2.3,0.49,193,22.95,2.7,13,0.87,5.7,,,,
11394,"Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased",6.24,2.3,0.2,167,25.59,2.16,11,0.72,12.3,,,,
11395,"Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated",6.76,2.8,0.31,199,31.66,2.9,12,0.8,14.2,,,,
31030,"Potatoes, french fried, steak cut, salt not added in processing, frozen, unprepared",3.42,2.4,0.21,138,24.31,2.4,13,0.83,6.9,,,,
11411,"Potatoes, french fried, steak fries, salt added in processing, frozen, as purchased",3.39,1.9,0.2,133,23.51,2.19,9,0.65,18.4,,,,
11412,"Potatoes, french fried, steak fries, salt added in processing, frozen, oven-heated",3.76,2.6,0.25,152,26.98,2.57,10,0.64,14,,,,
31029,"Potatoes, french fried, wedge cut, frozen, unprepared",7.47,2.4,0.34,166,22.22,2.56,14,0.72,5.1,,,,
11400,"Potatoes, frozen, whole, unprepared",0.16,1.2,0.78,78,17.47,2.38,8,1.01,14.2,,,,
11391,"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",11.59,3.2,0.27,219,28.51,2.65,17,0.54,6.7,,,,
11370,"Potatoes, hash brown, home-prepared",12.52,3.2,1.49,265,35.11,3,14,0.55,13,,,,
31022,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",10.3,3.6,1.16,242,33.99,3.24,10,0.74,2.7,,,,
31021,"Potatoes, hash brown, refrigerated, unprepared",0.08,1.8,0.91,84,19.16,1.75,6,0.48,4.9,,,,
11378,"Potatoes, mashed, dehydrated, flakes without milk, dry form",0.41,6.6,3.36,354,81.17,8.34,27,1.21,81,,,,
11380,"Potatoes, mashed, dehydrated, granules without milk, dry form",0.54,7.1,3.47,372,85.51,8.22,41,1.09,37,,,,
11379,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",5.13,0.8,1.61,97,10.87,1.77,32,0.16,9.7,,,,
31036,"Potatoes, mashed, ready-to-eat",5.01,1.9,1.76,106,13.29,1.97,34,0.27,0.1,,,,
11358,"Potatoes, red, flesh and skin, baked",0.15,1.8,1.43,89,19.59,2.3,9,0.7,12.6,,,,
11355,"Potatoes, red, flesh and skin, raw",0.14,1.7,1.29,70,15.9,1.89,10,0.73,8.6,,,,
11361,"Potatoes, roasted, salt added in processing, frozen, unprepared",1.81,2.6,0.69,130,26.15,2.22,15,0.5,1.7,,,,
11356,"Potatoes, Russet, flesh and skin, baked",0.13,2.3,1.08,97,21.44,2.63,18,1.07,8.3,,,,
11353,"Potatoes, russet, flesh and skin, raw",0.08,1.3,0.62,79,18.07,2.14,13,0.86,5.7,,,,
11357,"Potatoes, white, flesh and skin, baked",0.15,2.1,1.53,94,21.08,2.1,10,0.64,12.6,,,,
11354,"Potatoes, white, flesh and skin, raw",0.1,2.4,1.15,69,15.71,1.68,9,0.52,9.1,,,,
31027,"Potatoes, yellow fleshed, french fried, frozen, unprepared",5.84,2.2,0.37,162,25.01,2.47,9,0.48,10.9,,,,
31028,"Potatoes, yellow fleshed, hash brown, shredded, salt added in processing, frozen, unprepared",0.07,2,0.23,81,17.98,2.04,9,0.31,7.8,,,,
31026,"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared",1.85,2.6,0.31,119,23.44,1.99,11,0.45,6,,,,
9294,"Prune juice, canned",0.03,1,16.45,71,17.45,0.61,12,1.18,4.1,,,,
9423,Prune puree,0.2,3.3,39,257,65.1,2.1,31,2.8,4.3,,,,
11417,"Pumpkin flowers, cooked, boiled, drained, without salt",0.08,0.9,2.4,15,3.3,1.09,37,0.88,5,,,,
11848,"Pumpkin leaves, cooked, boiled, drained, with salt",0.22,2.7,0.69,21,3.39,2.72,43,3.2,1,,,,
11419,"Pumpkin leaves, cooked, boiled, drained, without salt",0.22,2.7,0.69,21,3.39,2.72,43,3.2,1,,,,
11846,"Pumpkin, canned, with salt",0.28,2.9,3.3,34,8.09,1.1,26,1.39,4.2,,,,
11424,"Pumpkin, canned, without salt",0.28,2.9,3.3,34,8.09,1.1,26,1.39,4.2,,,,
11845,"Pumpkin, cooked, boiled, drained, with salt",0.07,1.1,2.08,18,4.31,0.72,15,0.57,4.7,,,,
11423,"Pumpkin, cooked, boiled, drained, without salt",0.07,1.1,2.08,20,4.9,0.72,15,0.57,4.7,,,,
11847,"Pumpkin, flowers, cooked, boiled, drained, with salt",0.08,0.9,2.4,15,3.18,1.09,37,0.88,5,,,,
11422,"Pumpkin, raw",0.1,0.5,2.76,26,6.5,1,21,0.8,9,,,,
20137,"Quinoa, cooked",1.92,2.8,0.87,120,21.3,4.4,17,1.49,0,,,,
11952,"Radicchio, raw",0.25,0.9,0.6,23,4.48,1.43,19,0.57,8,,,,
43142,"Radishes, hawaiian style, pickled",0.3,2.2,2,28,5.2,1.1,28,0.23,0,,,,
11850,"Radishes, oriental, cooked, boiled, drained, with salt",0.24,1.6,1.83,17,3.43,0.67,17,0.15,15.1,,,,
11431,"Radishes, oriental, cooked, boiled, drained, without salt",0.24,1.6,1.83,17,3.43,0.67,17,0.15,15.1,,,,
11432,"Radishes, oriental, dried",0.72,23.9,37.32,271,63.37,7.9,629,6.73,0,,,,
11430,"Radishes, oriental, raw",0.1,1.6,2.5,18,4.1,0.6,27,0.4,22,,,,
11429,"Radishes, raw",0.1,1.6,1.86,16,3.4,0.68,25,0.34,14.8,,,,
9297,"Raisins, golden seedless",0.46,4,59.19,302,79.52,3.39,53,1.79,3.2,,,,
9298,"Raisins, seedless",0.46,3.7,59.19,299,79.18,3.07,50,1.88,2.3,,,,
9304,"Raspberries, canned, red, heavy syrup pack, solids and liquids",0.12,3.3,20.06,91,23.36,0.83,11,0.42,8.7,,,,
9306,"Raspberries, frozen, red, sweetened",0.16,4.4,21.76,103,26.16,0.7,15,0.65,16.5,,,,
9518,"Raspberries, frozen, unsweetened",0.65,6.5,4.42,52,11.94,1.2,25,0.69,26.2,,,,
9302,"Raspberries, raw",0.65,6.5,4.42,52,11.94,1.2,25,0.69,26.2,,,,
16172,"Refried beans, canned, fat-free",0.45,4.7,0.61,79,13.5,5.34,34,1.62,0.9,,,,
16103,"Refried beans, canned, traditional style (includes USDA commodity)",2.01,3.7,0.54,90,13.55,4.98,29,1.44,6,,,,
16403,"Refried beans, canned, traditional, reduced sodium",2.01,3.7,0.54,89,13.55,4.98,29,1.44,0.8,,,,
9310,"Rhubarb, frozen, cooked, with sugar",0.05,2,28.7,116,31.2,0.39,145,0.21,3.3,,,,
9309,"Rhubarb, frozen, uncooked",0.11,1.8,1.1,21,5.1,0.55,194,0.29,4.8,,,,
9307,"Rhubarb, raw",0.2,1.8,1.1,21,4.54,0.9,86,0.22,8,,,,
20060,"Rice bran, crude",20.85,21,0.9,316,49.69,13.35,57,18.54,0,,,,
20090,"Rice flour, brown",2.78,4.6,0.66,363,76.48,7.23,11,1.98,0,,,,
20061,"Rice flour, white, unenriched",1.42,2.4,0.12,366,80.13,5.95,10,0.35,0,,,,
20134,"Rice noodles, cooked",0.2,1,0.03,108,24.01,1.79,4,0.14,0,,,,
20133,"Rice noodles, dry",0.56,1.6,0.12,364,80.18,5.95,18,0.7,0,,,,
20037,"Rice, brown, long-grain, cooked",0.97,1.6,0.24,123,25.58,2.74,3,0.56,0,,,,
20036,"Rice, brown, long-grain, raw",3.2,3.6,0.66,367,76.25,7.54,9,1.29,0,,,,
20042,"Rice, brown, parboiled, dry, UNCLE BEN'S",2.75,3.5,0.5,370,78.68,7.6,8,1.16,0,,,,
20055,"Rice, white, glutinous, unenriched, cooked",0.19,1,0.05,97,21.09,2.02,2,0.14,0,,,,
20047,"Rice, white, long-grain, parboiled, enriched, cooked",0.37,0.9,0.11,123,26.05,2.91,19,1.81,0,,,,
20046,"Rice, white, long-grain, parboiled, enriched, dry",1.03,1.8,0.33,374,80.89,7.51,71,3.33,0,,,,
20447,"Rice, white, long-grain, parboiled, unenriched, cooked",0.37,0.9,0.11,123,26.05,2.91,19,0.24,0,,,,
20446,"Rice, white, long-grain, parboiled, unenriched, dry",1.03,1.8,0.33,374,80.89,7.51,71,0.74,0,,,,
20048,"Rice, white, long-grain, precooked or instant, enriched, dry",0.94,1.9,0.05,380,82.32,7.82,22,6.3,0,,,,
20049,"Rice, white, long-grain, precooked or instant, enriched, prepared",0.5,0.6,0,124,26.76,2.18,8,1.77,0,,,,
20345,"Rice, white, long-grain, regular, cooked, enriched, with salt",0.28,0.4,0.05,130,28.17,2.69,10,1.2,0,,,,
20545,"Rice, white, long-grain, regular, cooked, unenriched, with salt",0.28,0.4,0.05,130,28.17,2.69,10,0.2,0,,,,
20045,"Rice, white, long-grain, regular, enriched, cooked",0.28,0.4,0.05,130,28.17,2.69,10,1.2,0,,,,
20044,"Rice, white, long-grain, regular, raw, enriched",0.66,1.3,0.12,365,79.95,7.13,28,4.31,0,,,,
20444,"Rice, white, long-grain, regular, raw, unenriched",0.66,1.3,0.12,365,79.95,7.13,28,0.8,0,,,,
20445,"Rice, white, long-grain, regular, unenriched, cooked without salt",0.28,0.4,0.05,130,28.17,2.69,10,0.2,0,,,,
9528,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",0.1,0.2,10.3,44,10.53,0.5,10,0.14,49.2,,,,
11851,"Rutabagas, cooked, boiled, drained, with salt",0.18,1.8,3.95,30,6.84,0.93,18,0.18,18.8,,,,
11436,"Rutabagas, cooked, boiled, drained, without salt",0.18,1.8,3.95,30,6.84,0.93,18,0.18,18.8,,,,
11435,"Rutabagas, raw",0.16,2.3,4.46,37,8.62,1.08,43,0.44,25,,,,
20063,"Rye flour, dark",2.22,23.8,2.31,325,68.63,15.91,37,4.97,0,,,,
20065,"Rye flour, light",1.33,8,0.93,357,76.68,9.82,13,0.91,0,,,,
20064,"Rye flour, medium",1.52,11.8,1.1,349,75.43,10.88,24,2.54,0,,,,
20062,Rye grain,1.63,15.1,0.98,338,75.86,10.34,24,2.63,0,,,,
11852,"Salsify, cooked, boiled, drained, with salt",0.17,3.1,2.9,68,15.36,2.73,47,0.55,4.6,,,,
11438,"Salsify, cooked, boiled, drained, without salt",0.17,3.1,2.9,68,15.36,2.73,47,0.55,4.6,,,,
43135,"Sandwich spread, meatless",9,3.3,1.9,149,9,8,44,1.5,0,,,,
9314,"Sapote, mamey, raw",0.46,5.4,20.14,124,32.1,1.45,18,0.78,23,,,,
11439,"Sauerkraut, canned, solids and liquids",0.14,2.9,1.78,19,4.28,0.91,30,1.47,14.7,,,,
11442,"Seaweed, agar, raw",0.03,0.5,0.28,26,6.75,0.54,54,1.86,0,,,,
11444,"Seaweed, irishmoss, raw",0.16,1.3,0.61,49,12.29,1.51,72,8.9,3,,,,
11445,"Seaweed, kelp, raw",0.56,1.3,0.6,43,9.57,1.68,168,2.85,3,,,,
11446,"Seaweed, laver, raw",0.28,0.3,0.49,35,5.11,5.81,70,1.8,39,,,,
11667,"Seaweed, spirulina, dried",7.72,3.6,3.1,290,23.9,57.47,120,28.5,10.1,,,,
11669,"Seaweed, wakame, raw",0.64,0.5,0.65,45,9.14,3.03,150,2.18,3,,,,
11640,"Shallots, freeze-dried",0.5,15.7,38.16,348,80.7,12.3,183,6,39,,,,
11677,"Shallots, raw",0.1,3.2,7.87,72,16.8,2.5,37,1.2,8,,,,
16259,SILK Banana-Strawberry soy yogurt,1.18,0.6,10.59,88,17.06,2.35,176,0.64,17.6,,,,
16256,SILK Black Cherry soy yogurt,1.18,0.6,11.76,88,17.06,2.35,176,0.64,17.6,,,,
16257,SILK Blueberry soy yogurt,1.18,0.6,12.35,88,17.06,2.35,176,0.64,17.6,,,,
16247,"SILK Chai, soymilk",1.44,0,5.76,53,7.82,2.47,123,0.44,0,,,,
16237,"SILK Chocolate, soymilk",1.44,0.8,7.82,58,9.47,2.06,123,0.59,0,,,,
16258,SILK Key Lime soy yogurt,1.18,0.6,12.35,88,17.65,2.35,176,0.64,17.6,,,,
16240,"SILK Light Chocolate, soymilk",0.62,0.8,7.82,49,9.05,2.06,123,0.59,0,,,,
16238,"SILK Light Plain, soymilk",0.82,0.4,2.47,29,3.29,2.47,123,0.44,0,,,,
16239,"SILK Light Vanilla, soymilk",0.82,0.4,2.88,33,4.12,2.47,123,0.44,0,,,,
16248,"SILK Mocha, soymilk",1.44,0,7.41,58,9.05,2.06,123,0.44,0,,,,
16246,"SILK Nog, soymilk",1.64,0,9.84,74,12.3,2.46,16,0.3,0,,,,
16255,SILK Peach soy yogurt,1.18,0.6,14.71,94,18.82,2.35,176,0.64,17.6,,,,
16235,"SILK Plain, soymilk",1.65,0.4,2.47,41,3.29,2.88,123,0.44,0,,,,
16243,"SILK Plus Fiber, soymilk",1.44,2.1,2.88,41,5.76,2.47,123,0.44,0,,,,
16242,"SILK Plus for Bone Health, soymilk",1.44,0.8,2.88,41,4.53,2.47,165,0.44,0,,,,
16241,"SILK Plus Omega-3 DHA, soymilk",2.06,0.4,2.47,45,3.29,2.88,144,0.44,0,,,,
16254,SILK Raspberry soy yogurt,1.18,0.6,12.94,88,17.65,2.35,176,0.64,17.6,,,,
16253,SILK Strawberry soy yogurt,1.18,0.6,12.94,94,18.24,2.35,176,0.64,17.6,,,,
16244,"SILK Unsweetened, soymilk",1.65,0.4,0.41,33,1.65,2.88,123,0.44,0,,,,
16250,SILK Vanilla soy yogurt (family size),1.76,0.4,10.57,79,13.66,2.64,132,0.48,0,,,,
16251,SILK Vanilla soy yogurt (single serving size),1.76,0.6,10.59,88,14.71,2.94,176,0.85,17.6,,,,
16236,"SILK Vanilla, soymilk",1.44,0.4,2.88,41,4.12,2.47,123,0.44,0,,,,
16245,"SILK Very Vanilla, soymilk",1.65,0.4,6.58,53,7.82,2.47,144,0.44,8.6,,,,
20648,"Sorghum flour, whole-grain",3.34,6.6,1.94,359,76.64,8.43,12,3.14,0.8,,,,
20067,Sorghum grain,3.46,6.7,2.53,329,72.09,10.62,13,3.36,0,,,,
16117,"Soy flour, defatted",1.22,17.5,16.42,327,33.92,51.46,241,9.24,0,,,,
16115,"Soy flour, full-fat, raw",20.65,9.6,7.5,434,31.92,37.81,206,6.37,0,,,,
16116,"Soy flour, full-fat, roasted",21.86,9.7,7.61,439,30.38,38.09,188,5.82,0,,,,
16118,"Soy flour, low-fat",8.9,16,9.33,372,30.63,49.81,285,8.2,0,,,,
16420,"Soy protein concentrate, produced by acid wash",0.46,5.5,20,328,25.41,63.63,363,10.78,0,,,,
16121,"Soy protein concentrate, produced by alcohol extraction",0.46,5.5,20,328,25.41,63.63,363,10.78,0,,,,
16125,Soy sauce made from hydrolyzed vegetable protein,0.51,0.5,1.3,60,7.84,7,17,0.33,0,,,,
16124,Soy sauce made from soy (tamari),0.1,0.8,1.7,60,5.57,10.51,20,2.38,0,,,,
16123,Soy sauce made from soy and wheat (shoyu),0.57,0.8,0.4,53,4.93,8.14,33,1.45,0,,,,
16424,"Soy sauce made from soy and wheat (shoyu), low sodium",0.3,0.7,0.5,57,5.59,9.05,30,1.35,0,,,,
16425,"Soy sauce, reduced sodium, made from hydrolyzed vegetable protein",0.31,0.3,5.63,90,14.44,8.19,11,0.43,0,,,,
43299,"Soybean, curd cheese",8.1,0,1.6,151,6.9,12.5,188,5.6,0,,,,
16109,"Soybeans, mature cooked, boiled, without salt",8.97,6,3,172,8.36,18.21,102,5.14,1.7,,,,
16409,"Soybeans, mature seeds, cooked, boiled, with salt",8.97,6,2.36,172,8.36,18.21,102,5.14,1.7,,,,
16108,"Soybeans, mature seeds, raw",19.94,9.3,7.33,446,30.16,36.49,277,15.7,6,,,,
16110,"Soybeans, mature seeds, roasted, salted",25.4,17.7,4.2,469,30.22,38.55,138,3.9,2.2,,,,
11453,"Soybeans, mature seeds, sprouted, cooked, steamed",4.45,0.8,0.52,81,6.53,8.47,59,1.31,8.3,,,,
11923,"Soybeans, mature seeds, sprouted, cooked, steamed, with salt",4.45,0.8,0.43,81,6.53,8.47,59,1.31,8.3,,,,
16223,"Soymilk (All flavors), enhanced",1.99,0.4,2.53,45,3.45,2.94,140,0.49,7.2,,,,
16229,"Soymilk (All flavors), lowfat, with added calcium, vitamins A and D",0.62,0.8,3.5,43,7.2,1.65,82,0.44,0,,,,
16230,"Soymilk (all flavors), nonfat, with added calcium, vitamins A and D",0.04,0.2,3.65,28,4.14,2.47,116,0.35,0,,,,
16222,"Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D",1.61,0.5,0.41,33,1.74,2.86,124,0.46,0,,,,
16227,"Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D",0.64,0.7,7.13,47,8.24,2.1,123,0.59,0,,,,
16231,"Soymilk, chocolate, nonfat, with added calcium, vitamins A and D",0.04,0.2,3.65,44,8.51,2.47,116,0.35,0,,,,
16166,"Soymilk, chocolate, unfortified",1.53,0.4,7.86,63,9.95,2.26,25,0.48,1.7,,,,
16168,"Soymilk, chocolate, with added calcium, vitamins A and D",1.53,0.4,7.86,63,9.95,2.26,126,0.48,1.7,,,,
16228,"Soymilk, original and vanilla, light, unsweetened, with added calcium, vitamins A and D",0.85,0.6,0.41,34,3.85,2.62,123,0.46,0,,,,
16225,"Soymilk, original and vanilla, light, with added calcium, vitamins A and D",0.77,0.3,2.61,30,3.51,2.38,123,0.43,0,,,,
16120,"Soymilk, original and vanilla, unfortified",1.75,0.6,3.99,54,6.28,3.27,25,0.64,0,,,,
16139,"Soymilk, original and vanilla, with added calcium, vitamins A and D",1.47,0.2,3.65,43,4.92,2.6,123,0.42,0,,,,
20126,"Spaghetti, spinach, dry",1.57,10.6,2.72,372,74.81,13.35,58,2.13,0,,,,
20140,"Spelt, uncooked",2.43,10.7,6.82,338,70.19,14.57,27,4.44,0,,,,
11658,Spinach souffle,12.95,0.7,1.85,172,5.9,7.89,165,1.19,7.3,,,,
11855,"Spinach, canned, no salt added, solids and liquids",0.37,2.2,0.33,19,2.92,2.11,83,1.58,13.5,,,,
11461,"Spinach, canned, regular pack, drained solids",0.5,2.4,0.4,23,3.4,2.81,127,2.3,14.3,,,,
11459,"Spinach, canned, regular pack, solids and liquids",0.37,1.6,0.33,19,2.92,2.11,83,1.58,13.5,,,,
11854,"Spinach, cooked, boiled, drained, with salt",0.26,2.4,0.43,23,3.75,2.97,136,3.57,9.8,,,,
11458,"Spinach, cooked, boiled, drained, without salt",0.26,2.4,0.43,23,3.75,2.97,136,3.57,9.8,,,,
11856,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",0.87,3.7,0.51,34,4.8,4.01,153,1.96,2.2,,,,
11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",0.87,3.7,0.51,34,4.8,4.01,153,1.96,2.2,,,,
11463,"Spinach, frozen, chopped or leaf, unprepared",0.57,2.9,0.65,29,4.21,3.63,129,1.89,5.5,,,,
11457,"Spinach, raw",0.39,2.2,0.42,23,3.63,2.86,99,2.71,28.1,,,,
11857,"Squash, summer, all varieties, cooked, boiled, drained, with salt",0.31,1.4,2.59,20,4.31,0.91,27,0.36,5.5,,,,
11642,"Squash, summer, all varieties, cooked, boiled, drained, without salt",0.31,1.4,2.59,20,4.31,0.91,27,0.36,5.5,,,,
11641,"Squash, summer, all varieties, raw",0.18,1.1,2.2,16,3.35,1.21,15,0.35,17,,,,
11471,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",0.07,1.4,1.19,13,2.96,0.61,12,0.71,2.7,,,,
11858,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt",0.39,1.1,2.48,19,3.79,1.04,22,0.37,11.6,,,,
11468,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",0.39,1.1,2.48,23,3.79,1.04,22,0.37,11.6,,,,
11859,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, with salt",0.2,1.4,2.33,25,5.54,1.28,20,0.52,6.8,,,,
11474,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",0.2,1.4,2.33,25,5.54,1.28,20,0.52,6.8,,,,
11467,"Squash, summer, crookneck and straightneck, raw",0.27,1,2.88,19,3.88,1.01,21,0.44,19.3,,,,
